saving to results/2022-03-31_16-15-55_resnet44_m-8
creating model resnet
created model with configuration: {'dataset': 'cifar10', 'depth': 44}
number of parameters: 661338
/scratch/tor213/.env/lib64/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
optimization regime: [{'epoch': 0, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'regularizer': {'name': 'WeightDecay', 'value': 0.0001, 'log': False, 'filter': {'parameter_name': <function weight_decay_config.<locals>.<lambda> at 0x14f687a4ca60>, 'module': <function weight_decay_config.<locals>.<lambda> at 0x14f687a4c820>}}}, {'epoch': 81, 'lr': 0.01}, {'epoch': 122, 'lr': 0.001}, {'epoch': 164, 'lr': 0.0001}]
data regime: Current: {'datasets_path': '~/Datasets', 'name': 'cifar10', 'split': 'train', 'augment': True, 'input_size': None, 'batch_size': 64, 'shuffle': True, 'num_workers': 8, 'pin_memory': True, 'drop_last': True, 'distributed': False, 'duplicates': 8, 'autoaugment': False, 'cutout': {'holes': 1, 'length': 16}}
 Regime:None

Starting Epoch: 1

Files already downloaded and verified
Files already downloaded and verified
TRAINING - Epoch: [0][0/781]	Time 4.192 (4.192)	Data 3.245 (3.245)	Loss 2.3068 (2.3068)	Prec@1 7.031 (7.031)	Prec@5 42.383 (42.383)	Acc 0.070 (0.070)	
TRAINING - Epoch: [0][10/781]	Time 0.096 (0.470)	Data 0.000 (0.295)	Loss 2.3304 (2.3035)	Prec@1 11.328 (13.903)	Prec@5 53.516 (55.273)	Acc 0.139 (0.121)	
TRAINING - Epoch: [0][20/781]	Time 0.091 (0.296)	Data 0.000 (0.155)	Loss 2.2553 (2.2595)	Prec@1 9.961 (15.597)	Prec@5 63.867 (59.552)	Acc 0.156 (0.137)	
TRAINING - Epoch: [0][30/781]	Time 0.092 (0.233)	Data 0.000 (0.105)	Loss 2.1628 (2.2303)	Prec@1 25.781 (17.043)	Prec@5 67.578 (62.368)	Acc 0.170 (0.145)	
TRAINING - Epoch: [0][40/781]	Time 0.104 (0.202)	Data 0.000 (0.079)	Loss 2.1932 (2.1895)	Prec@1 22.070 (17.997)	Prec@5 74.805 (65.930)	Acc 0.180 (0.153)	
TRAINING - Epoch: [0][50/781]	Time 0.091 (0.182)	Data 0.000 (0.064)	Loss 1.9199 (2.1597)	Prec@1 24.023 (18.869)	Prec@5 79.688 (67.961)	Acc 0.189 (0.159)	
TRAINING - Epoch: [0][60/781]	Time 0.143 (0.170)	Data 0.009 (0.054)	Loss 1.9301 (2.1322)	Prec@1 21.680 (19.679)	Prec@5 82.031 (69.781)	Acc 0.197 (0.165)	
TRAINING - Epoch: [0][70/781]	Time 0.091 (0.160)	Data 0.000 (0.046)	Loss 2.0478 (2.1183)	Prec@1 24.023 (19.927)	Prec@5 82.617 (71.074)	Acc 0.199 (0.170)	
TRAINING - Epoch: [0][80/781]	Time 0.095 (0.152)	Data 0.000 (0.041)	Loss 1.9947 (2.1031)	Prec@1 26.758 (20.522)	Prec@5 72.656 (72.065)	Acc 0.205 (0.174)	
TRAINING - Epoch: [0][90/781]	Time 0.091 (0.147)	Data 0.000 (0.036)	Loss 2.0364 (2.0870)	Prec@1 22.461 (21.077)	Prec@5 72.852 (72.957)	Acc 0.211 (0.177)	
TRAINING - Epoch: [0][100/781]	Time 0.122 (0.143)	Data 0.000 (0.033)	Loss 1.9155 (2.0704)	Prec@1 28.711 (21.844)	Prec@5 78.516 (73.784)	Acc 0.218 (0.181)	
TRAINING - Epoch: [0][110/781]	Time 0.113 (0.139)	Data 0.000 (0.030)	Loss 1.8777 (2.0577)	Prec@1 28.125 (22.387)	Prec@5 80.273 (74.356)	Acc 0.224 (0.185)	
TRAINING - Epoch: [0][120/781]	Time 0.093 (0.136)	Data 0.000 (0.027)	Loss 1.8461 (2.0439)	Prec@1 25.195 (22.710)	Prec@5 84.180 (75.032)	Acc 0.227 (0.188)	
TRAINING - Epoch: [0][130/781]	Time 0.092 (0.133)	Data 0.000 (0.025)	Loss 1.9188 (2.0301)	Prec@1 30.469 (23.136)	Prec@5 83.398 (75.726)	Acc 0.231 (0.191)	
