epoch,steps,training step,training data,training loss,training prec1,training prec5,training acc,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation acc,validation error1,validation error5
1,781,0.3526140880340498,0.0045254541878205715,1.6287939464542227,38.87300186059539,87.96733704785531,0.296893882941516,61.12699813940461,12.03266295214469,0.00927914327876583,0.0029327535325554526,1.3283985372543334,54.2,94.17,0.5356586936099071,45.8,5.829999999999998
2,1562,0.35182326795502294,0.0015663557260198263,1.126528993077223,59.320607594430214,95.78621408850832,0.5650470575160279,40.679392405569786,4.213785911491684,0.008270275820592407,0.0031470508332465106,0.9923624683380127,67.08,97.78,0.6675338956589534,32.92,2.219999999999999
3,2343,0.351079549130038,0.0022301444934058586,0.913313029899182,67.56918463908451,97.3540908090589,0.6598439750123615,32.43081536091549,2.6459091909410972,0.008082626731532394,0.0027622736183701047,0.8356953350067139,71.39,98.58,0.713673254232504,28.61,1.4200000000000017
4,3124,0.351618107088702,0.002772392292486721,0.7702875193804694,72.96960027208706,98.13965468950065,0.7193809312028453,27.030399727912936,1.8603453104993548,0.008256696591711347,0.002851061000945462,0.8043881465911865,73.75,98.69,0.738045917407871,26.25,1.3100000000000023
5,3905,0.3512706069726492,0.0024241372351457152,0.6806091532282884,76.2207656450064,98.5444717309539,0.7613746164251317,23.779234354993605,1.4555282690460984,0.009173457030278102,0.0037210336916006295,0.8398958685874939,74.09,98.39,0.7481047334030337,25.909999999999997,1.6099999999999994
6,4686,0.3512660184071403,0.0026855767917999384,0.6190450745569148,78.42878471110755,98.78042223511524,0.7792208524903037,21.571215288892446,1.219577764884761,0.0085493030062147,0.0031636125722508523,0.5351981291770935,82.26,99.04,0.8201622840511523,17.739999999999995,0.9599999999999937
7,5467,0.3510817733525314,0.002317875814498921,0.5675542343899169,80.18853533130601,98.96998289452625,0.7992353205987268,19.811464668693986,1.0300171054737461,0.008643936959041911,0.002929555382698205,0.57405669465065,80.93,99.12,0.8031990493133507,19.069999999999993,0.8799999999999955
8,6248,0.35120599370607186,0.002661300529743737,0.5222971702278347,81.76785321302818,99.10846470870679,0.8176286561292242,18.232146786971825,0.8915352912932093,0.008025799587274052,0.003085885078284391,0.640451774597168,80.75,98.79,0.8055497775958043,19.25,1.2099999999999937
9,7029,0.35097732525628905,0.002392337813725392,0.4937785146292895,82.81818932058259,99.22093820022407,0.8267298662168275,17.18181067941741,0.7790617997759313,0.008270338082769115,0.003026725380284012,0.620052531528473,81.74,99.1,0.8160367956669504,18.260000000000005,0.9000000000000057
10,7810,0.3510472493654024,0.0026951129244170637,0.46124320211086933,83.90660011203585,99.30027608834827,0.8387649021252023,16.093399887964154,0.6997239116517306,0.008203834485096536,0.002997686908503247,0.548802972126007,81.87,99.2,0.8211118609925868,18.129999999999995,0.7999999999999972
11,8591,0.35071040726196445,0.0023579988223184543,0.43817467231985546,84.70660611395647,99.37811349631882,0.8490103011072692,15.293393886043532,0.621886503681182,0.008291581633743966,0.003098998100134977,0.36813742151260376,88.3,99.48,0.8835384791180885,11.700000000000003,0.519999999999996
12,9372,0.3508692828702255,0.0024596906044113804,0.41561347780398616,85.48347971350832,99.45613846430858,0.8569113045058461,14.516520286491684,0.5438615356914198,0.008580060521508477,0.0033819022451996045,0.3614964595794678,87.69,99.61,0.8736619754556808,12.310000000000002,0.39000000000000057
13,10153,0.3510652882799449,0.002796175843164344,0.39469828470949936,86.20877430777848,99.46382842509603,0.8658112183295944,13.791225692221516,0.5361715749039746,0.008170097496858828,0.003306473896002314,0.6080115283966064,82.0,99.23,0.8203882389496728,18.0,0.769999999999996
14,10934,0.35098964853567594,0.0027019028169092234,0.3800610481318988,86.712372959347,99.51884603072983,0.868678532101051,13.287627040653007,0.4811539692701672,0.008284395667398052,0.00298864066980447,0.408073450756073,87.04,99.33,0.8678032972692972,12.959999999999994,0.6700000000000017
15,11715,0.35043938425530546,0.001927130658861617,0.3596983881102023,87.45811159571063,99.57248819622279,0.8760732072391664,12.541888404289367,0.42751180377720743,0.007997543189176328,0.002889652920376723,0.431697793674469,86.11,99.63,0.8629874837582174,13.89,0.37000000000000455
16,12496,0.3515931406033329,0.002785351151235583,0.35041697392008825,87.70694122119077,99.59924675896286,0.8801485599792561,12.293058778809225,0.40075324103713683,0.007954099375730867,0.002900228378879037,0.31955591320991517,89.68,99.65,0.8964228295774307,10.319999999999993,0.3499999999999943
17,13277,0.35155181939714847,0.0027964661582331346,0.34128605548611984,88.06049185739437,99.61693992077464,0.8861730539288127,11.939508142605632,0.3830600792253591,0.008146361940225978,0.002868072242493842,0.41181800508499145,86.72,99.58,0.8689896370981723,13.280000000000001,0.4200000000000017
18,14058,0.35152136867391315,0.002806875372970913,0.32595626471824135,88.55108634763124,99.65914092509603,0.8886873140604327,11.44891365236876,0.3408590749039746,0.008134746247795737,0.0030825775899704856,0.3958725167274475,87.14,99.52,0.8711471290466197,12.86,0.480000000000004
19,14839,0.3515233657729458,0.0027000458383987565,0.31751574911701846,88.84536801776568,99.67245768645967,0.8906483046353354,11.15463198223432,0.32754231354033436,0.008270793659671856,0.0030228666439177884,0.46459223470687866,86.12,99.49,0.8579101783082399,13.879999999999995,0.5100000000000051
20,15620,0.3507883133564655,0.0026812251185027646,0.3114854022574333,89.07381612115877,99.67414572663252,0.8932971431696829,10.926183878841229,0.32585427336748296,0.007980449943785455,0.003024076959889406,0.3295547758102417,89.09,99.71,0.8888842104991752,10.909999999999997,0.29000000000000625
