saving to results/2022-03-31_16-19-45_resnet44_m-4
creating model resnet
created model with configuration: {'dataset': 'cifar10', 'depth': 44}
number of parameters: 661338
/scratch/tor213/.env/lib64/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
optimization regime: [{'epoch': 0, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'regularizer': {'name': 'WeightDecay', 'value': 0.0001, 'log': False, 'filter': {'parameter_name': <function weight_decay_config.<locals>.<lambda> at 0x146218584a60>, 'module': <function weight_decay_config.<locals>.<lambda> at 0x146218584820>}}}, {'epoch': 81, 'lr': 0.01}, {'epoch': 122, 'lr': 0.001}, {'epoch': 164, 'lr': 0.0001}]
data regime: Current: {'datasets_path': '~/Datasets', 'name': 'cifar10', 'split': 'train', 'augment': True, 'input_size': None, 'batch_size': 64, 'shuffle': True, 'num_workers': 8, 'pin_memory': True, 'drop_last': True, 'distributed': False, 'duplicates': 4, 'autoaugment': False, 'cutout': {'holes': 1, 'length': 16}}
 Regime:None

Starting Epoch: 1

Files already downloaded and verified
Files already downloaded and verified
TRAINING - Epoch: [0][0/781]	Time 2.139 (2.139)	Data 1.825 (1.825)	Loss 2.3056 (2.3056)	Prec@1 8.594 (8.594)	Prec@5 42.578 (42.578)	Acc 0.086 (0.086)	
TRAINING - Epoch: [0][10/781]	Time 0.048 (0.239)	Data 0.000 (0.166)	Loss 2.3256 (2.3039)	Prec@1 10.938 (13.707)	Prec@5 53.516 (55.291)	Acc 0.137 (0.120)	
TRAINING - Epoch: [0][20/781]	Time 0.048 (0.148)	Data 0.000 (0.087)	Loss 2.2457 (2.2590)	Prec@1 10.547 (15.439)	Prec@5 63.672 (59.859)	Acc 0.154 (0.135)	
TRAINING - Epoch: [0][30/781]	Time 0.048 (0.116)	Data 0.000 (0.059)	Loss 2.1495 (2.2288)	Prec@1 25.391 (16.809)	Prec@5 68.750 (62.765)	Acc 0.168 (0.144)	
TRAINING - Epoch: [0][40/781]	Time 0.048 (0.099)	Data 0.000 (0.045)	Loss 2.1909 (2.1890)	Prec@1 21.094 (17.883)	Prec@5 74.609 (66.016)	Acc 0.179 (0.151)	
TRAINING - Epoch: [0][50/781]	Time 0.048 (0.089)	Data 0.000 (0.036)	Loss 1.9171 (2.1598)	Prec@1 27.344 (18.758)	Prec@5 82.812 (68.168)	Acc 0.188 (0.158)	
TRAINING - Epoch: [0][60/781]	Time 0.048 (0.083)	Data 0.000 (0.030)	Loss 1.9498 (2.1330)	Prec@1 18.750 (19.307)	Prec@5 82.422 (70.005)	Acc 0.193 (0.163)	
TRAINING - Epoch: [0][70/781]	Time 0.048 (0.078)	Data 0.000 (0.026)	Loss 2.0370 (2.1208)	Prec@1 24.609 (19.724)	Prec@5 80.469 (70.984)	Acc 0.197 (0.168)	
TRAINING - Epoch: [0][80/781]	Time 0.048 (0.074)	Data 0.000 (0.023)	Loss 1.9970 (2.1058)	Prec@1 25.781 (20.322)	Prec@5 75.000 (71.909)	Acc 0.203 (0.172)	
TRAINING - Epoch: [0][90/781]	Time 0.048 (0.071)	Data 0.000 (0.020)	Loss 1.9951 (2.0889)	Prec@1 21.875 (20.871)	Prec@5 77.344 (72.982)	Acc 0.209 (0.175)	
TRAINING - Epoch: [0][100/781]	Time 0.049 (0.069)	Data 0.000 (0.018)	Loss 1.8878 (2.0733)	Prec@1 32.812 (21.755)	Prec@5 76.953 (73.782)	Acc 0.218 (0.179)	
TRAINING - Epoch: [0][110/781]	Time 0.049 (0.067)	Data 0.000 (0.017)	Loss 1.8983 (2.0609)	Prec@1 32.031 (22.304)	Prec@5 80.078 (74.430)	Acc 0.223 (0.183)	
TRAINING - Epoch: [0][120/781]	Time 0.048 (0.066)	Data 0.000 (0.015)	Loss 1.8346 (2.0476)	Prec@1 23.828 (22.714)	Prec@5 84.375 (75.055)	Acc 0.227 (0.186)	
TRAINING - Epoch: [0][130/781]	Time 0.048 (0.064)	Data 0.000 (0.014)	Loss 1.9388 (2.0341)	Prec@1 29.297 (23.142)	Prec@5 81.250 (75.754)	Acc 0.231 (0.190)	
TRAINING - Epoch: [0][140/781]	Time 0.048 (0.063)	Data 0.000 (0.013)	Loss 1.8943 (2.0222)	Prec@1 31.641 (23.595)	Prec@5 85.938 (76.410)	Acc 0.236 (0.193)	
TRAINING - Epoch: [0][150/781]	Time 0.048 (0.062)	Data 0.000 (0.012)	Loss 1.8338 (2.0157)	Prec@1 28.906 (23.893)	Prec@5 87.500 (76.847)	Acc 0.239 (0.196)	
TRAINING - Epoch: [0][160/781]	Time 0.048 (0.061)	Data 0.000 (0.012)	Loss 2.0183 (2.0068)	Prec@1 27.734 (24.224)	Prec@5 80.078 (77.232)	Acc 0.242 (0.199)	
TRAINING - Epoch: [0][170/781]	Time 0.048 (0.061)	Data 0.000 (0.011)	Loss 1.9046 (2.0001)	Prec@1 25.000 (24.411)	Prec@5 75.391 (77.609)	Acc 0.244 (0.201)	
TRAINING - Epoch: [0][180/781]	Time 0.048 (0.060)	Data 0.000 (0.010)	Loss 1.8319 (1.9908)	Prec@1 25.781 (24.676)	Prec@5 85.156 (78.004)	Acc 0.247 (0.204)	
TRAINING - Epoch: [0][190/781]	Time 0.048 (0.059)	Data 0.000 (0.010)	Loss 1.8003 (1.9813)	Prec@1 31.250 (24.912)	Prec@5 83.984 (78.448)	Acc 0.249 (0.206)	
TRAINING - Epoch: [0][200/781]	Time 0.048 (0.059)	Data 0.000 (0.009)	Loss 1.8101 (1.9724)	Prec@1 32.422 (25.097)	Prec@5 86.719 (78.815)	Acc 0.251 (0.208)	
TRAINING - Epoch: [0][210/781]	Time 0.048 (0.058)	Data 0.000 (0.009)	Loss 1.7153 (1.9636)	Prec@1 33.984 (25.317)	Prec@5 91.016 (79.167)	Acc 0.253 (0.210)	
TRAINING - Epoch: [0][220/781]	Time 0.048 (0.058)	Data 0.000 (0.008)	Loss 1.9078 (1.9564)	Prec@1 29.297 (25.622)	Prec@5 84.375 (79.456)	Acc 0.256 (0.212)	
TRAINING - Epoch: [0][230/781]	Time 0.048 (0.057)	Data 0.000 (0.008)	Loss 1.8064 (1.9488)	Prec@1 32.031 (25.876)	Prec@5 84.766 (79.802)	Acc 0.259 (0.214)	
TRAINING - Epoch: [0][240/781]	Time 0.048 (0.057)	Data 0.000 (0.008)	Loss 1.6592 (1.9396)	Prec@1 37.500 (26.229)	Prec@5 89.453 (80.128)	Acc 0.262 (0.216)	
TRAINING - Epoch: [0][250/781]	Time 0.048 (0.057)	Data 0.000 (0.007)	Loss 1.6753 (1.9309)	Prec@1 40.625 (26.541)	Prec@5 89.062 (80.456)	Acc 0.265 (0.218)	
TRAINING - Epoch: [0][260/781]	Time 0.048 (0.056)	Data 0.000 (0.007)	Loss 2.0266 (1.9267)	Prec@1 28.125 (26.696)	Prec@5 78.125 (80.618)	Acc 0.267 (0.220)	
TRAINING - Epoch: [0][270/781]	Time 0.048 (0.056)	Data 0.000 (0.007)	Loss 1.7893 (1.9202)	Prec@1 37.500 (26.932)	Prec@5 81.250 (80.855)	Acc 0.269 (0.222)	
TRAINING - Epoch: [0][280/781]	Time 0.048 (0.056)	Data 0.000 (0.007)	Loss 1.6364 (1.9122)	Prec@1 42.969 (27.283)	Prec@5 91.406 (81.061)	Acc 0.273 (0.223)	
TRAINING - Epoch: [0][290/781]	Time 0.048 (0.056)	Data 0.000 (0.006)	Loss 1.7973 (1.9049)	Prec@1 28.906 (27.575)	Prec@5 88.281 (81.321)	Acc 0.276 (0.225)	
TRAINING - Epoch: [0][300/781]	Time 0.048 (0.055)	Data 0.000 (0.006)	Loss 1.4924 (1.8981)	Prec@1 44.531 (27.854)	Prec@5 92.969 (81.519)	Acc 0.279 (0.227)	
TRAINING - Epoch: [0][310/781]	Time 0.048 (0.055)	Data 0.000 (0.006)	Loss 1.6841 (1.8917)	Prec@1 35.156 (28.155)	Prec@5 90.625 (81.692)	Acc 0.282 (0.229)	
