saving to results/2022-04-06_12-20-15_resnet44_m-1
creating model resnet
created model with configuration: {'dataset': 'cifar10'}
number of parameters: 661338
/scratch/tor213/.env/lib64/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
optimization regime: [{'epoch': 0, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'regularizer': {'name': 'WeightDecay', 'value': 0.0001, 'log': False, 'filter': {'parameter_name': <function weight_decay_config.<locals>.<lambda> at 0x14dcb7f8b940>, 'module': <function weight_decay_config.<locals>.<lambda> at 0x14dcb7f8b9d0>}}}, {'epoch': 81, 'lr': 0.01}, {'epoch': 122, 'lr': 0.001}, {'epoch': 164, 'lr': 0.0001}]
data regime: Current: {'datasets_path': '~/Datasets', 'name': 'cifar10', 'split': 'train', 'augment': True, 'input_size': None, 'batch_size': 64, 'shuffle': True, 'num_workers': 8, 'pin_memory': True, 'drop_last': True, 'distributed': False, 'duplicates': 1, 'autoaugment': False, 'cutout': None}
 Regime:None

Starting Epoch: 1

Files already downloaded and verified
Files already downloaded and verified
TRAINING - Epoch: [0][0/781]	Time 1.697 (1.697)	Data 1.534 (1.534)	Loss 2.3063 (2.3063)	Prec@1 7.812 (7.812)	Prec@5 50.000 (50.000)	Acc 0.078 (0.078)	
TRAINING - Epoch: [0][10/781]	Time 0.017 (0.172)	Data 0.000 (0.140)	Loss 2.3075 (2.2988)	Prec@1 10.938 (13.920)	Prec@5 56.250 (57.955)	Acc 0.139 (0.129)	
TRAINING - Epoch: [0][20/781]	Time 0.017 (0.098)	Data 0.000 (0.073)	Loss 2.2534 (2.2406)	Prec@1 14.062 (15.923)	Prec@5 67.188 (62.128)	Acc 0.159 (0.142)	
TRAINING - Epoch: [0][30/781]	Time 0.017 (0.072)	Data 0.000 (0.050)	Loss 2.1687 (2.2117)	Prec@1 23.438 (17.137)	Prec@5 70.312 (64.718)	Acc 0.171 (0.150)	
TRAINING - Epoch: [0][40/781]	Time 0.017 (0.059)	Data 0.000 (0.038)	Loss 2.1388 (2.1677)	Prec@1 23.438 (18.598)	Prec@5 73.438 (67.683)	Acc 0.186 (0.157)	
TRAINING - Epoch: [0][50/781]	Time 0.017 (0.051)	Data 0.000 (0.030)	Loss 1.8602 (2.1341)	Prec@1 28.125 (19.516)	Prec@5 82.812 (69.822)	Acc 0.195 (0.164)	
TRAINING - Epoch: [0][60/781]	Time 0.017 (0.045)	Data 0.000 (0.025)	Loss 1.8515 (2.1047)	Prec@1 31.250 (20.389)	Prec@5 87.500 (71.798)	Acc 0.204 (0.170)	
TRAINING - Epoch: [0][70/781]	Time 0.017 (0.041)	Data 0.000 (0.022)	Loss 1.9543 (2.0879)	Prec@1 31.250 (20.731)	Prec@5 81.250 (73.107)	Acc 0.207 (0.175)	
TRAINING - Epoch: [0][80/781]	Time 0.017 (0.038)	Data 0.000 (0.019)	Loss 1.9654 (2.0722)	Prec@1 35.938 (21.547)	Prec@5 71.875 (73.881)	Acc 0.215 (0.179)	
TRAINING - Epoch: [0][90/781]	Time 0.017 (0.036)	Data 0.000 (0.017)	Loss 1.9668 (2.0528)	Prec@1 21.875 (22.201)	Prec@5 76.562 (74.845)	Acc 0.222 (0.183)	
TRAINING - Epoch: [0][100/781]	Time 0.017 (0.034)	Data 0.000 (0.015)	Loss 1.8622 (2.0363)	Prec@1 31.250 (22.819)	Prec@5 79.688 (75.557)	Acc 0.228 (0.188)	
TRAINING - Epoch: [0][110/781]	Time 0.017 (0.032)	Data 0.000 (0.014)	Loss 1.7723 (2.0253)	Prec@1 39.062 (23.353)	Prec@5 79.688 (75.816)	Acc 0.234 (0.192)	
TRAINING - Epoch: [0][120/781]	Time 0.017 (0.031)	Data 0.000 (0.013)	Loss 1.8339 (2.0117)	Prec@1 25.000 (23.644)	Prec@5 82.812 (76.446)	Acc 0.236 (0.195)	
TRAINING - Epoch: [0][130/781]	Time 0.017 (0.030)	Data 0.000 (0.012)	Loss 1.9555 (1.9946)	Prec@1 26.562 (24.058)	Prec@5 84.375 (77.242)	Acc 0.241 (0.199)	
TRAINING - Epoch: [0][140/781]	Time 0.017 (0.029)	Data 0.000 (0.011)	Loss 1.8986 (1.9847)	Prec@1 28.125 (24.424)	Prec@5 84.375 (77.815)	Acc 0.244 (0.202)	
TRAINING - Epoch: [0][150/781]	Time 0.017 (0.028)	Data 0.000 (0.010)	Loss 1.8504 (1.9797)	Prec@1 31.250 (24.545)	Prec@5 85.938 (78.218)	Acc 0.245 (0.204)	
TRAINING - Epoch: [0][160/781]	Time 0.017 (0.028)	Data 0.000 (0.010)	Loss 1.9535 (1.9715)	Prec@1 28.125 (24.786)	Prec@5 78.125 (78.552)	Acc 0.248 (0.207)	
TRAINING - Epoch: [0][170/781]	Time 0.017 (0.027)	Data 0.000 (0.009)	Loss 1.7883 (1.9644)	Prec@1 23.438 (25.009)	Prec@5 78.125 (78.893)	Acc 0.250 (0.210)	
TRAINING - Epoch: [0][180/781]	Time 0.017 (0.026)	Data 0.000 (0.009)	Loss 1.7016 (1.9529)	Prec@1 28.125 (25.501)	Prec@5 93.750 (79.351)	Acc 0.255 (0.212)	
TRAINING - Epoch: [0][190/781]	Time 0.017 (0.026)	Data 0.000 (0.008)	Loss 1.6615 (1.9413)	Prec@1 43.750 (25.777)	Prec@5 87.500 (79.802)	Acc 0.258 (0.214)	
TRAINING - Epoch: [0][200/781]	Time 0.017 (0.025)	Data 0.000 (0.008)	Loss 1.7168 (1.9321)	Prec@1 29.688 (25.941)	Prec@5 87.500 (80.123)	Acc 0.259 (0.217)	
TRAINING - Epoch: [0][210/781]	Time 0.017 (0.025)	Data 0.000 (0.007)	Loss 1.7628 (1.9254)	Prec@1 29.688 (26.126)	Prec@5 89.062 (80.413)	Acc 0.261 (0.219)	
