epoch,steps,training step,training data,training loss,training prec1,training prec5,training acc,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation acc,validation error1,validation error5
1,781,0.019266968957898558,0.0021386045805165464,1.583642110400255,40.631001920614594,89.00248079385403,0.307183404287364,59.368998079385406,10.997519206145967,0.008167107393787166,0.0026237478681430696,1.4153592491149902,51.83,93.98,0.5241955055549697,48.17,6.019999999999996
2,1562,0.018544378109686507,0.0005671904731193669,1.0687308802189504,61.50568181818182,96.15076824583866,0.5894735372134342,38.49431818181818,3.8492317541613374,0.007675483727910716,0.0025670619527245783,1.0057432697296143,65.12,97.27,0.6567027346463257,34.879999999999995,2.730000000000004
3,2343,0.017486055742915858,0.0006223051557162355,0.8645532741742006,69.59627080665813,97.61523687580025,0.6821123020072992,30.403729193341874,2.3847631241997505,0.007982979914185348,0.002712390984699225,1.3339390647888183,62.09,94.61,0.6209126130564228,37.91,5.390000000000001
4,3124,0.01800571849495745,0.0005868290206381667,0.7314197988882566,74.47183098591549,98.37147887323944,0.735308285280978,25.52816901408451,1.6285211267605604,0.007838127719368905,0.0026470658126150725,0.7351291820526124,74.65,98.58,0.7493104079820778,25.349999999999994,1.4200000000000017
5,3905,0.017788523748497955,0.0005793003663516075,0.6526474044509184,77.34875160051216,98.6235595390525,0.7729339481810995,22.65124839948784,1.3764404609475065,0.0077194317131285455,0.0025379961463296487,0.6922535503387451,76.88,98.69,0.7710368252063506,23.120000000000005,1.3100000000000023
6,4686,0.01771377479221085,0.0005983521782634506,0.5942972382571114,79.67949743918054,98.83362676056338,0.7941981810057837,20.320502560819463,1.1663732394366235,0.007728966937702932,0.0028095473149779495,0.6774274371147155,77.12,98.34,0.7726158145313903,22.879999999999995,1.6599999999999966
7,5467,0.01763766034769798,0.0006105240420098494,0.5504892345770679,81.0179257362356,99.02368758002561,0.8090674355279115,18.982074263764403,0.9763124199743913,0.007864297575252071,0.002585462703826321,0.6934958046913147,76.68,98.96,0.7693859171903117,23.319999999999993,1.0400000000000063
8,6248,0.01754982126507045,0.0006177254431378979,0.5135824371620574,82.13228233034572,99.16773367477593,0.8238559505303542,17.867717669654283,0.8322663252240687,0.007746034367069317,0.002704407758773512,0.7237716556549072,76.94,98.8,0.7710934641886873,23.060000000000002,1.2000000000000028
9,7029,0.018312933808252236,0.0006016863750892474,0.48638476189058966,83.30465749039692,99.29777528809218,0.8311600378838526,16.69534250960308,0.7022247119078173,0.0077606674971853855,0.0027366216015663877,0.6799648410797119,78.83,98.59,0.7930003448835145,21.17,1.4099999999999966
10,7810,0.018072655808452454,0.0006406307220458984,0.4624401865748834,84.05889884763124,99.29977592829705,0.8400650887013097,15.94110115236876,0.700224071702948,0.007935312902851469,0.002911895703358255,0.6344152608394623,79.63,98.89,0.7954012497248673,20.370000000000005,1.1099999999999994
11,8591,0.018365480835703364,0.0005919014445950829,0.4433393371166249,84.53505121638925,99.36579705505761,0.8482259357406161,15.464948783610751,0.6342029449423876,0.007701120558817675,0.0027089863066460675,0.5567026853561401,82.08,99.27,0.8199546826313239,17.92,0.730000000000004
12,9372,0.01837382975980048,0.0006494045868115297,0.4298042754586619,85.07122279129321,99.44382202304737,0.8503792331013451,14.92877720870679,0.5561779769526254,0.007928085934584307,0.0027006279890704307,0.5555539937019348,80.98,99.15,0.8163191999848801,19.019999999999996,0.8499999999999943
13,10153,0.017856135105811986,0.0006378893662964336,0.4060551248652987,85.97551216389245,99.43782010243278,0.8640997954093144,14.024487836107554,0.5621798975672192,0.007899179580105338,0.0026224069534593326,0.5854272579193115,80.9,99.16,0.8047849517457516,19.099999999999994,0.8400000000000034
14,10934,0.01804418020455999,0.0006180441486392833,0.394166433704342,86.3616357234315,99.50584186939821,0.8635920170187891,13.638364276568495,0.4941581306017895,0.007700956551132688,0.002606893041331297,0.48893452744483945,84.03,99.1,0.8402755739101909,15.969999999999999,0.9000000000000057
