epoch,steps,training step,training data,training loss,training prec1,training prec5,training acc,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation acc,validation error1,validation error5
1,781,0.18233743855650997,0.00349469343617692,1.6323286398730112,38.66824883962868,87.98427996959028,0.29570482457481817,61.33175116037132,12.015720030409724,0.010133778213695356,0.0028142929077148438,1.3812036115646362,51.56,94.31,0.5155968917566676,48.44,5.689999999999998
2,1562,0.18019421427259066,0.0018741669331256315,1.1301250305126938,59.25246078745199,95.74851452464789,0.5640587932083054,40.74753921254801,4.251485475352112,0.008663807704949834,0.003152936886829935,1.212217594718933,61.62,97.51,0.6119016379773953,38.38,2.489999999999995
3,2343,0.1801636347239515,0.001821139405234675,0.9070061937489674,67.797695262484,97.39254061299616,0.6627561417313846,32.202304737516,2.6074593870038427,0.008977530108895272,0.00322425745095417,0.9872030211448669,67.72,98.29,0.67566595829234,32.28,1.7099999999999937
4,3124,0.17986583831826183,0.001529243325149204,0.7696279307181032,72.99410811459667,98.13265244878362,0.7206641614368352,27.00589188540333,1.8673475512163833,0.008302526109537502,0.002923906229104206,0.7854990634918213,73.78,98.59,0.7430152600981028,26.22,1.4099999999999966
5,3905,0.18023186731277446,0.0013272655452869918,0.6802418778785212,76.21676436459667,98.51652528809218,0.761234075374052,23.78323563540333,1.4834747119078173,0.008859645029541794,0.003245696899997201,0.7890810555458069,74.81,98.5,0.747963398332801,25.189999999999998,1.5
6,4686,0.17993313799136426,0.0015605793414439496,0.6207858649930331,78.36545194462228,98.77223211427656,0.7800509074058456,21.63454805537772,1.2277678857234378,0.00887212024372854,0.002934363237611807,0.5713636660575867,81.67,98.91,0.8144348679688154,18.33,1.0900000000000034
7,5467,0.1802653316956934,0.001981879623842911,0.5724647170679212,80.10200764244559,98.95203965268887,0.7996260828640472,19.897992357554415,1.0479603473111325,0.008705057156313756,0.0031552891822377587,0.6268503487110137,79.51,99.19,0.7917516888237954,20.489999999999995,0.8100000000000023
8,6248,0.17999218368041836,0.0016483711066838263,0.5252284460656926,81.65775548175417,99.09558558738796,0.816194369035833,18.342244518245835,0.9044144126120415,0.009053887834974156,0.0027852574731134306,0.6036095164299011,81.24,99.01,0.8100899367508746,18.760000000000005,0.9899999999999949
9,7029,0.18030928008534997,0.0020416460635567443,0.5014827850533509,82.56754661491678,99.20537071862996,0.8237545450178999,17.43245338508322,0.7946292813700353,0.008936763569048255,0.0031795729497435745,0.4443871904373169,85.23,99.49,0.8505071072325271,14.769999999999996,0.5100000000000051
10,7810,0.18011754942001362,0.0017691687340925658,0.4700158247950746,83.64214048495519,99.24350792253522,0.8363008575263164,16.357859515044808,0.7564920774647845,0.008657285362292247,0.0029356601131949457,0.5770953592300415,80.1,99.31,0.7985108764710016,19.900000000000006,0.6899999999999977
11,8591,0.18024296308754348,0.001954716390592646,0.4485713305874762,84.34411511683739,99.33278649167734,0.8452529576695517,15.655884883162614,0.6672135083226607,0.008581404473371567,0.003122850588172864,0.4048690655469894,86.55,99.45,0.8642589672927339,13.450000000000003,0.5499999999999972
12,9372,0.18013848354813383,0.0018389344062756331,0.4256608449924313,85.12599031690141,99.41956426056338,0.8536364409816015,14.874009683098592,0.5804357394366235,0.008750333907497916,0.002870963637236577,0.3960391016960144,86.99,99.31,0.8650804234257852,13.010000000000005,0.6899999999999977
13,10153,0.18019513589319286,0.0018311481011814405,0.406814080423338,85.81721150768246,99.46407850512163,0.862723674711703,14.182788492317542,0.5359214948783659,0.008452658440656723,0.0030684486316267853,0.6293164519309997,82.01,98.92,0.8163092796922219,17.989999999999995,1.0799999999999983
14,10934,0.17990815868450952,0.0015308585270724132,0.3942187946103752,86.2182148287452,99.47908330665813,0.8638470608787573,13.781785171254796,0.5209166933418743,0.008751852497173722,0.003669258895193695,0.4176492210865021,86.45,99.5,0.8630018176775566,13.549999999999997,0.5
15,11715,0.18010797146493127,0.00177990398089498,0.3721986728769258,87.03247539212548,99.5240977112676,0.8716213151756276,12.967524607874523,0.47590228873239937,0.008632673579416458,0.0032139750802592866,0.5133027328491211,84.59,99.38,0.8465414614953155,15.409999999999997,0.6200000000000045
16,12496,0.18011120431096544,0.0017622939755760907,0.36598426380246,87.17089468629962,99.57198803617158,0.8743649571207545,12.829105313700381,0.42801196382842477,0.009059813371889151,0.003081593543860563,0.3408711850643158,89.13,99.53,0.8893009160241305,10.870000000000005,0.46999999999999886
17,13277,0.18011877539826415,0.0018322766971954462,0.3553474700595902,87.55139144526248,99.58586747759283,0.8801431147166813,12.448608554737518,0.41413252240717213,0.008087264504402307,0.0026651628457816543,0.41455928144454957,87.25,99.61,0.875820955127052,12.75,0.39000000000000057
18,14058,0.18002697081327743,0.0016734365006567727,0.3392266625593322,88.09243958066581,99.61350132042253,0.885072180560438,11.907560419334189,0.3864986795774712,0.008978224104377115,0.0035647419607563384,0.2741620378494263,90.43,99.76,0.8992899114535454,9.569999999999993,0.23999999999999488
19,14839,0.1800308313015634,0.0016571498558249577,0.33454161039082553,88.30075624199743,99.63213228233035,0.8854382619936215,11.699243758002567,0.36786771766965387,0.008457123094303593,0.0030365734343316144,0.47636812260150907,85.77,99.41,0.8486821735315588,14.230000000000004,0.5900000000000034
20,15620,0.1800991716519208,0.0017406738979715696,0.32534810286325316,88.64199043693982,99.63675876280409,0.89079529918253,11.358009563060179,0.36324123719590773,0.009036109705639494,0.003222833013838264,0.29618750002384187,90.11,99.66,0.8993366062895817,9.89,0.3400000000000034
21,16401,0.18013655147235005,0.0017252356081094388,0.31747065415837245,88.87031350032011,99.6705195662612,0.8911541535864139,11.129686499679892,0.32948043373879443,0.008868156724674687,0.0030281619661173243,0.30532022993564606,90.16,99.74,0.8965839408798917,9.840000000000003,0.2600000000000051
22,17182,0.18015624649546058,0.001703649721133419,0.3091966173827419,89.20742137483995,99.68402388764405,0.8951105744832077,10.792578625160047,0.3159761123559548,0.008685482535392615,0.0031611448640276674,0.3246720598936081,90.07,99.7,0.9025278446380455,9.930000000000007,0.29999999999999716
23,17963,0.17990251784135378,0.001560160506244811,0.30477475735541343,89.27969450224072,99.69990396927017,0.8949892227452186,10.720305497759284,0.3000960307298328,0.00880806916838239,0.0032918772120384653,0.3684345096349716,88.59,99.46,0.8848277216308096,11.409999999999997,0.5400000000000063
24,18744,0.17990895483771605,0.0014915335041002183,0.2967888443860751,89.59842149487837,99.70878181017926,0.8971043032880757,10.401578505121634,0.2912181898207393,0.008909059937592525,0.0030158082391046415,0.44036874484419825,87.42,99.51,0.8725546422028049,12.579999999999998,0.4899999999999949
25,19525,0.17984745749743433,0.0015666503149171797,0.2917091933278207,89.71383342669654,99.71415853072983,0.9002271944458612,10.286166573303461,0.2858414692701672,0.00838983894153765,0.0030266631181073036,0.33604702484607696,89.26,99.75,0.8924932365212939,10.739999999999995,0.25
26,20306,0.1800688338798689,0.0017745357469468356,0.28910850763091966,89.89164032490397,99.71966029129321,0.9017751438781845,10.108359675096025,0.2803397087067907,0.008705385171683731,0.0035039907807757143,0.33300263829231264,89.8,99.68,0.9029548512846286,10.200000000000003,0.3199999999999932
27,21087,0.17993318714039275,0.0017378263070549763,0.28186354817638937,90.05194162131882,99.74166733354673,0.9031413357203346,9.948058378681182,0.2583326664532706,0.007969112153265887,0.0030852730866450413,0.35377798929214477,89.02,99.63,0.8874047363607604,10.980000000000004,0.37000000000000455
28,21868,0.18026075778331097,0.0014272969449833322,0.2756520956277695,90.33690781049935,99.74504341389245,0.9063316938910434,9.663092189500645,0.25495658610755356,0.008464515588845417,0.0027968579796469138,0.3577707151174545,89.34,99.69,0.8922864609082708,10.659999999999997,0.3100000000000023
29,22649,0.1805615009937946,0.0017955043709690225,0.2725122852224699,90.44006582106275,99.7680507762484,0.907132086981039,9.559934178937255,0.23194922375159877,0.008811748711166868,0.0032301920994072205,0.3632884761095047,88.25,99.69,0.8819633953196532,11.75,0.3100000000000023
30,23430,0.17999972881947224,0.0016775335758810006,0.2671598756492672,90.62112375960308,99.74854453425095,0.9095755618119239,9.37887624039692,0.2514554657490464,0.00778158758855929,0.0030283244552126356,0.3287370385527611,90.44,99.69,0.905914441644183,9.560000000000002,0.3100000000000023
31,24211,0.18033923626556592,0.0015592346118140617,0.26274845728152235,90.73616057138284,99.78555637804098,0.9112164722791091,9.26383942861716,0.21444362195902045,0.008435212882461062,0.002807451661225337,0.2885651447355747,90.98,99.56,0.911019912928409,9.019999999999996,0.4399999999999977
32,24992,0.18045804900488077,0.0016473948421307318,0.2614372175725871,90.8175616197183,99.77842909731113,0.9113679060832796,9.182438380281695,0.22157090268886748,0.009079729675487348,0.0030844029347608043,0.3078671305656433,90.58,99.68,0.9067550469832008,9.420000000000002,0.3199999999999932
33,25773,0.1799982836548711,0.0016522541852064536,0.2591183958682452,90.87082866517285,99.7803046975032,0.9107630563541339,9.129171334827149,0.21969530249680247,0.008889943930753477,0.0031176296768674425,0.30239709765911105,90.87,99.75,0.9104023862684124,9.129999999999995,0.25
34,26554,0.18015190825419602,0.0018336040262376147,0.252812516855293,91.1436659731114,99.78568141805378,0.9165771648200834,8.856334026888604,0.2143185819462161,0.009022655001111851,0.0031853390347426104,0.26578361040353776,91.85,99.74,0.9193588582426581,8.150000000000006,0.2600000000000051
35,27335,0.18025880830693947,0.00187565178327768,0.247827207376267,91.27558318661971,99.80806358034572,0.9166545793300082,8.724416813380287,0.19193641965428299,0.008948915323634057,0.0030295089551597644,0.4979583724975586,85.77,99.61,0.8579299674768271,14.230000000000004,0.39000000000000057
36,28116,0.17976477662060844,0.0013879349839214174,0.25008114806058007,91.21118758002561,99.80431237996159,0.9153916089239909,8.788812419974391,0.195687620038413,0.008937639795291196,0.0033656153709265835,0.2672694974899292,91.52,99.78,0.9151757087600823,8.480000000000004,0.21999999999999886
