saving to results/2022-03-31_16-46-22_resnet44_m-16
creating model resnet
created model with configuration: {'dataset': 'cifar10', 'depth': 44}
number of parameters: 661338
/scratch/tor213/.env/lib64/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
optimization regime: [{'epoch': 0, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'regularizer': {'name': 'WeightDecay', 'value': 0.0001, 'log': False, 'filter': {'parameter_name': <function weight_decay_config.<locals>.<lambda> at 0x14eb581e7a60>, 'module': <function weight_decay_config.<locals>.<lambda> at 0x14eb581e7820>}}}, {'epoch': 81, 'lr': 0.01}, {'epoch': 122, 'lr': 0.001}, {'epoch': 164, 'lr': 0.0001}]
data regime: Current: {'datasets_path': '~/Datasets', 'name': 'cifar10', 'split': 'train', 'augment': True, 'input_size': None, 'batch_size': 64, 'shuffle': True, 'num_workers': 8, 'pin_memory': True, 'drop_last': True, 'distributed': False, 'duplicates': 16, 'autoaugment': False, 'cutout': {'holes': 1, 'length': 16}}
 Regime:None

Starting Epoch: 1

Files already downloaded and verified
Files already downloaded and verified
TRAINING - Epoch: [0][0/781]	Time 3.391 (3.391)	Data 2.579 (2.579)	Loss 2.3063 (2.3063)	Prec@1 8.203 (8.203)	Prec@5 41.309 (41.309)	Acc 0.082 (0.082)	
TRAINING - Epoch: [0][10/781]	Time 0.179 (0.471)	Data 0.000 (0.235)	Loss 2.3270 (2.3034)	Prec@1 10.938 (13.707)	Prec@5 53.906 (55.513)	Acc 0.137 (0.122)	
TRAINING - Epoch: [0][20/781]	Time 0.178 (0.331)	Data 0.000 (0.123)	Loss 2.2528 (2.2592)	Prec@1 10.742 (15.332)	Prec@5 64.844 (59.761)	Acc 0.153 (0.136)	
TRAINING - Epoch: [0][30/781]	Time 0.178 (0.282)	Data 0.000 (0.083)	Loss 2.1509 (2.2293)	Prec@1 26.172 (16.784)	Prec@5 67.090 (62.582)	Acc 0.168 (0.144)	
TRAINING - Epoch: [0][40/781]	Time 0.178 (0.257)	Data 0.000 (0.063)	Loss 2.1895 (2.1883)	Prec@1 20.215 (17.721)	Prec@5 75.293 (66.128)	Acc 0.177 (0.151)	
TRAINING - Epoch: [0][50/781]	Time 0.178 (0.241)	Data 0.000 (0.051)	Loss 1.9109 (2.1584)	Prec@1 28.320 (18.819)	Prec@5 80.176 (68.266)	Acc 0.188 (0.157)	
TRAINING - Epoch: [0][60/781]	Time 0.178 (0.231)	Data 0.000 (0.042)	Loss 1.9345 (2.1326)	Prec@1 21.973 (19.546)	Prec@5 83.398 (69.986)	Acc 0.195 (0.163)	
TRAINING - Epoch: [0][70/781]	Time 0.178 (0.224)	Data 0.000 (0.036)	Loss 2.0183 (2.1188)	Prec@1 25.684 (19.853)	Prec@5 80.566 (71.168)	Acc 0.199 (0.168)	
TRAINING - Epoch: [0][80/781]	Time 0.178 (0.218)	Data 0.000 (0.032)	Loss 2.0103 (2.1035)	Prec@1 25.195 (20.404)	Prec@5 73.828 (72.199)	Acc 0.204 (0.172)	
TRAINING - Epoch: [0][90/781]	Time 0.179 (0.214)	Data 0.000 (0.029)	Loss 2.0035 (2.0868)	Prec@1 23.340 (20.977)	Prec@5 76.953 (73.269)	Acc 0.210 (0.176)	
TRAINING - Epoch: [0][100/781]	Time 0.178 (0.210)	Data 0.000 (0.026)	Loss 1.9225 (2.0709)	Prec@1 29.395 (21.745)	Prec@5 78.223 (74.059)	Acc 0.217 (0.180)	
