saving to results/2022-03-31_18-33-48_resnet44_m-32
creating model resnet
created model with configuration: {'dataset': 'cifar10', 'depth': 44}
number of parameters: 661338
/scratch/tor213/.env/lib64/python3.8/site-packages/torch/utils/data/dataloader.py:478: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
optimization regime: [{'epoch': 0, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'regularizer': {'name': 'WeightDecay', 'value': 0.0001, 'log': False, 'filter': {'parameter_name': <function weight_decay_config.<locals>.<lambda> at 0x146643d51a60>, 'module': <function weight_decay_config.<locals>.<lambda> at 0x146643d51820>}}}, {'epoch': 81, 'lr': 0.01}, {'epoch': 122, 'lr': 0.001}, {'epoch': 164, 'lr': 0.0001}]
data regime: Current: {'datasets_path': '~/Datasets', 'name': 'cifar10', 'split': 'train', 'augment': True, 'input_size': None, 'batch_size': 64, 'shuffle': True, 'num_workers': 8, 'pin_memory': True, 'drop_last': True, 'distributed': False, 'duplicates': 32, 'autoaugment': False, 'cutout': {'holes': 1, 'length': 16}}
 Regime:None

Starting Epoch: 1

Files already downloaded and verified
Files already downloaded and verified
TRAINING - Epoch: [0][0/781]	Time 4.752 (4.752)	Data 3.387 (3.387)	Loss 2.3066 (2.3066)	Prec@1 6.738 (6.738)	Prec@5 41.748 (41.748)	Acc 0.067 (0.067)	
TRAINING - Epoch: [0][10/781]	Time 0.346 (0.747)	Data 0.000 (0.308)	Loss 2.3284 (2.3035)	Prec@1 10.449 (13.450)	Prec@5 54.395 (55.562)	Acc 0.134 (0.117)	
TRAINING - Epoch: [0][20/781]	Time 0.346 (0.556)	Data 0.000 (0.161)	Loss 2.2577 (2.2598)	Prec@1 11.133 (14.983)	Prec@5 63.232 (59.761)	Acc 0.150 (0.131)	
TRAINING - Epoch: [0][30/781]	Time 0.346 (0.489)	Data 0.000 (0.109)	Loss 2.1469 (2.2293)	Prec@1 25.488 (16.561)	Prec@5 67.676 (62.596)	Acc 0.166 (0.140)	
TRAINING - Epoch: [0][40/781]	Time 0.346 (0.454)	Data 0.000 (0.083)	Loss 2.1911 (2.1881)	Prec@1 20.605 (17.677)	Prec@5 75.684 (66.033)	Acc 0.177 (0.148)	
TRAINING - Epoch: [0][50/781]	Time 0.346 (0.433)	Data 0.000 (0.067)	Loss 1.9211 (2.1592)	Prec@1 27.344 (18.751)	Prec@5 81.104 (68.142)	Acc 0.188 (0.155)	
TRAINING - Epoch: [0][60/781]	Time 0.346 (0.419)	Data 0.000 (0.056)	Loss 1.9400 (2.1334)	Prec@1 20.068 (19.377)	Prec@5 82.812 (69.943)	Acc 0.194 (0.161)	
TRAINING - Epoch: [0][70/781]	Time 0.346 (0.408)	Data 0.000 (0.048)	Loss 2.0313 (2.1190)	Prec@1 25.488 (19.698)	Prec@5 80.029 (71.132)	Acc 0.197 (0.166)	
TRAINING - Epoch: [0][80/781]	Time 0.346 (0.401)	Data 0.000 (0.042)	Loss 1.9858 (2.1036)	Prec@1 25.537 (20.235)	Prec@5 76.465 (72.208)	Acc 0.202 (0.170)	
TRAINING - Epoch: [0][90/781]	Time 0.346 (0.395)	Data 0.000 (0.037)	Loss 2.0066 (2.0864)	Prec@1 21.875 (20.791)	Prec@5 77.051 (73.305)	Acc 0.208 (0.174)	
TRAINING - Epoch: [0][100/781]	Time 0.346 (0.390)	Data 0.000 (0.034)	Loss 1.8960 (2.0698)	Prec@1 28.418 (21.619)	Prec@5 79.150 (74.112)	Acc 0.216 (0.177)	
TRAINING - Epoch: [0][110/781]	Time 0.347 (0.386)	Data 0.000 (0.031)	Loss 1.8935 (2.0582)	Prec@1 30.273 (22.185)	Prec@5 79.199 (74.628)	Acc 0.222 (0.181)	
TRAINING - Epoch: [0][120/781]	Time 0.346 (0.383)	Data 0.000 (0.028)	Loss 1.8557 (2.0457)	Prec@1 27.539 (22.583)	Prec@5 83.008 (75.243)	Acc 0.226 (0.185)	
TRAINING - Epoch: [0][130/781]	Time 0.346 (0.380)	Data 0.000 (0.026)	Loss 1.9339 (2.0322)	Prec@1 28.955 (23.072)	Prec@5 81.787 (75.893)	Acc 0.231 (0.188)	
TRAINING - Epoch: [0][140/781]	Time 0.346 (0.378)	Data 0.000 (0.024)	Loss 1.8445 (2.0205)	Prec@1 30.029 (23.433)	Prec@5 84.180 (76.488)	Acc 0.234 (0.191)	
TRAINING - Epoch: [0][150/781]	Time 0.346 (0.376)	Data 0.000 (0.023)	Loss 1.8168 (2.0130)	Prec@1 28.174 (23.727)	Prec@5 86.182 (76.898)	Acc 0.237 (0.194)	
TRAINING - Epoch: [0][160/781]	Time 0.346 (0.374)	Data 0.000 (0.021)	Loss 1.9802 (2.0025)	Prec@1 26.758 (24.033)	Prec@5 79.590 (77.340)	Acc 0.240 (0.197)	
TRAINING - Epoch: [0][170/781]	Time 0.346 (0.372)	Data 0.000 (0.020)	Loss 1.8888 (1.9944)	Prec@1 26.807 (24.301)	Prec@5 79.932 (77.718)	Acc 0.243 (0.200)	
TRAINING - Epoch: [0][180/781]	Time 0.346 (0.371)	Data 0.000 (0.019)	Loss 1.7448 (1.9829)	Prec@1 25.146 (24.699)	Prec@5 85.986 (78.123)	Acc 0.247 (0.202)	
TRAINING - Epoch: [0][190/781]	Time 0.346 (0.369)	Data 0.000 (0.018)	Loss 1.7959 (1.9731)	Prec@1 35.107 (25.008)	Prec@5 83.545 (78.561)	Acc 0.250 (0.205)	
TRAINING - Epoch: [0][200/781]	Time 0.346 (0.368)	Data 0.000 (0.017)	Loss 1.8914 (1.9642)	Prec@1 26.172 (25.168)	Prec@5 83.057 (78.954)	Acc 0.252 (0.207)	
TRAINING - Epoch: [0][210/781]	Time 0.347 (0.367)	Data 0.000 (0.016)	Loss 1.6942 (1.9556)	Prec@1 35.498 (25.451)	Prec@5 91.455 (79.320)	Acc 0.255 (0.209)	
TRAINING - Epoch: [0][220/781]	Time 0.347 (0.366)	Data 0.000 (0.016)	Loss 1.9114 (1.9492)	Prec@1 29.102 (25.765)	Prec@5 83.057 (79.618)	Acc 0.258 (0.211)	
TRAINING - Epoch: [0][230/781]	Time 0.346 (0.365)	Data 0.000 (0.015)	Loss 1.7639 (1.9416)	Prec@1 32.764 (26.060)	Prec@5 87.158 (79.944)	Acc 0.261 (0.213)	
TRAINING - Epoch: [0][240/781]	Time 0.347 (0.365)	Data 0.000 (0.014)	Loss 1.6121 (1.9314)	Prec@1 39.307 (26.461)	Prec@5 90.723 (80.310)	Acc 0.265 (0.215)	
TRAINING - Epoch: [0][250/781]	Time 0.347 (0.364)	Data 0.000 (0.014)	Loss 1.6505 (1.9221)	Prec@1 36.963 (26.810)	Prec@5 89.355 (80.629)	Acc 0.268 (0.217)	
